EmployeeNumber,Age,Tenure,Turnover,HourlyRate ,HoursWeekly,CompensationType,AnnualSalary,DrivingCommuterDistance,JobRoleArea,Gender,MaritalStatus,NumCompaniesPreviouslyWorked,AnnualProfessionalDevHrs,PaycheckMethod,TextMessageOptIn,Salary_Math_Consistent,Salary_Inconsistency_Severity,Salary_Needs_Review,Salary_Issue_Details,AnnualSalary_outlier_flag,DrivingCommuterDistance_outlier_flag
1,28,6,Yes,24.37,40,Salary,50689.6,89.0,Research,Female,Married,3.0,7.0,Mail Check,Yes,True,NONE,False,,False,False
2,33,2,Yes,24.37,40,Salary,50689.6,89.0,Research,Female,Married,6.0,7.0,Mail Check,Yes,True,NONE,False,,False,False
3,22,1,No,22.52,40,Salary,46841.6,35.0,Information Technology,Female,Single,1.0,8.0,Mail Check,Yes,True,NONE,False,,False,False
4,23,1,No,22.52,40,Salary,46841.6,35.0,Information Technology,Female,Single,3.0,15.0,Mail Check,Yes,True,NONE,False,,False,False
5,40,6,No,88.77,40,Salary,284641.6,12.0,Sales,Prefer Not to Answer,Single,7.0,15.0,Mail Check,Yes,False,MAJOR,True,"Expected $184,642 but shows $284,642 (54.2% difference)",False,False
6,45,16,Yes,88.77,40,Salary,284641.6,12.0,Sales,Prefer Not to Answer,Single,1.0,19.0,Mail Check,No,False,MAJOR,True,"Expected $184,642 but shows $284,642 (54.2% difference)",False,False
7,34,6,No,28.43,40,Salary,59134.4,0.0,Human Resources,Male,Single,2.0,23.0,Mail Check,Yes,True,NONE,False,,False,False
8,37,9,Yes,28.43,40,Salary,59134.4,0.0,Human Resources,Male,Single,1.0,25.0,Mail Check,Yes,True,NONE,False,,False,False
9,23,1,No,21.87,40,Salary,45489.6,76.0,Human Resources,Female,Single,1.0,15.0,Mail Check,Yes,True,NONE,False,,False,False
10,24,1,Yes,21.87,40,Salary,45489.6,76.0,Human Resources,Female,Single,2.0,9.0,Mail Check,Yes,True,NONE,False,,False,False
11,30,3,Yes,29.54,40,Salary,61443.2,15.0,Laboratory,Female,Divorced,3.0,6.0,Mail Check,Yes,True,NONE,False,,False,False
