EmployeeNumber,Age,Tenure,Turnover,HourlyRate ,HoursWeekly,CompensationType,AnnualSalary,DrivingCommuterDistance,JobRoleArea,Gender,MaritalStatus,NumCompaniesPreviouslyWorked,AnnualProfessionalDevHrs,PaycheckMethod,TextMessageOptIn,Salary_Math_Consistent,Salary_Inconsistency_Severity,Salary_Needs_Review,Salary_Issue_Details,AnnualSalary_outlier_flag,DrivingCommuterDistance_outlier_flag
5,40,6,No,88.77,40,Salary,284641.6,12.0,Sales,Prefer Not to Answer,Single,7.0,15.0,Mail Check,Yes,False,MAJOR,True,"Expected $184,642 but shows $284,642 (54.2% difference)",False,False
6,45,16,Yes,88.77,40,Salary,284641.6,12.0,Sales,Prefer Not to Answer,Single,1.0,19.0,Mail Check,No,False,MAJOR,True,"Expected $184,642 but shows $284,642 (54.2% difference)",False,False
17,55,20,Yes,88.5,40,Salary,284080.0,60.0,Information Technology,Prefer Not to Answer,Married,7.0,9.0,Mail Check,Yes,False,MAJOR,True,"Expected $184,080 but shows $284,080 (54.3% difference)",False,False
18,59,16,Yes,88.5,40,Salary,284080.0,60.0,Information Technology,Prefer Not to Answer,Married,5.0,15.0,Mail Check,Yes,False,MAJOR,True,"Expected $184,080 but shows $284,080 (54.3% difference)",False,False
23,44,9,No,87.22,40,Salary,281417.6,75.0,Manufacturing,Female,Divorced,2.0,16.0,Mail Check,Yes,False,MAJOR,True,"Expected $181,418 but shows $281,418 (55.1% difference)",False,False
24,54,15,No,87.22,40,Salary,281417.6,75.0,Manufacturing,Female,Divorced,7.0,24.0,Mail Check,Yes,False,MAJOR,True,"Expected $181,418 but shows $281,418 (55.1% difference)",False,False
25,36,3,Yes,87.2,40,Salary,281376.0,5.0,Research,Female,Married,1.0,10.0,Direct Deposit,Yes,False,MAJOR,True,"Expected $181,376 but shows $281,376 (55.1% difference)",False,False
26,40,8,No,87.2,40,Salary,281376.0,5.0,Research,Female,Married,4.0,15.0,Direct Deposit,Yes,False,MAJOR,True,"Expected $181,376 but shows $281,376 (55.1% difference)",False,False
29,41,7,No,89.4,40,Salary,285952.0,28.0,Healthcare,Prefer Not to Answer,Single,6.0,20.0,Mail Check,Yes,False,MAJOR,True,"Expected $185,952 but shows $285,952 (53.8% difference)",False,False
30,44,18,Yes,89.4,40,Salary,285952.0,28.0,Healthcare,Prefer Not to Answer,Single,6.0,25.0,Mail Check,No,False,MAJOR,True,"Expected $185,952 but shows $285,952 (53.8% difference)",False,False
33,38,8,No,88.78,40,Salary,284662.4,0.0,Laboratory,Prefer Not to Answer,Divorced,1.0,21.0,Mail Check,Yes,False,MAJOR,True,"Expected $184,662 but shows $284,662 (54.2% difference)",False,False
34,56,8,No,88.78,40,Salary,284662.4,0.0,Laboratory,Prefer Not to Answer,Divorced,3.0,25.0,Mail Check,Yes,False,MAJOR,True,"Expected $184,662 but shows $284,662 (54.2% difference)",False,False
43,21,1,Yes,22.24,40,Salary,5259.2,13.0,Research,Female,Single,3.0,12.0,Direct Deposit,Yes,False,MAJOR,True,"Expected $46,259 but shows $5,259 (88.6% difference)",False,False
44,23,1,Yes,22.24,40,Salary,5259.2,13.0,Research,Female,Married,2.0,11.0,Direct Deposit,Yes,False,MAJOR,True,"Expected $46,259 but shows $5,259 (88.6% difference)",False,False
53,44,18,No,87.0,40,Salary,280960.0,42.0,Manufacturing,Prefer Not to Answer,Divorced,7.0,13.0,Mail Check,Yes,False,MAJOR,True,"Expected $180,960 but shows $280,960 (55.3% difference)",False,False
54,47,9,No,87.0,40,Salary,280960.0,42.0,Manufacturing,Prefer Not to Answer,Divorced,1.0,15.0,Mail Check,Yes,False,MAJOR,True,"Expected $180,960 but shows $280,960 (55.3% difference)",False,False
59,46,16,Yes,89.35,40,Salary,285848.0,64.0,Healthcare,Prefer Not to Answer,Single,2.0,15.0,Mail Check,No,False,MAJOR,True,"Expected $185,848 but shows $285,848 (53.8% difference)",False,False
60,48,17,Yes,89.35,40,Salary,285848.0,64.0,Healthcare,Prefer Not to Answer,Single,1.0,6.0,Mail Check,Yes,False,MAJOR,True,"Expected $185,848 but shows $285,848 (53.8% difference)",False,False
81,52,6,No,89.31,40,Salary,285764.8,41.0,Research,Male,Married,7.0,15.0,Mail Check,Yes,False,MAJOR,True,"Expected $185,765 but shows $285,765 (53.8% difference)",False,False
82,53,9,Yes,89.31,40,Salary,285764.8,41.0,Research,Male,Married,6.0,15.0,Mail Check,Yes,False,MAJOR,True,"Expected $185,765 but shows $285,765 (53.8% difference)",False,False
83,50,10,No,88.27,40,Salary,283601.6,60.0,Research,Male,Married,3.0,12.0,Direct Deposit,Yes,False,MAJOR,True,"Expected $183,602 but shows $283,602 (54.5% difference)",False,False
